ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010141994;vase;;;"AO 17225; RS 5.257";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010141999;"encensoir ; figurine ; fragment";;;"AO 17230; RS 5.146 A";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 16 Céramique d'importation";
cl010142007;"outil ; ustensile domestique";;;"AO 17239";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142013;cachet;;"-1550 / -1150  (Bronze récent)";"AO 17245; RS 5.245";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142020;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17253; RS 5.241";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142025;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17258; RS 5.283";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142030;cachet;;"-1550 / -1150  (Bronze récent)";"AO 17263";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142081;figurine;;;"AO 17328";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142102;hache;;"-1550 / -1150  (Bronze récent)";"AO 17349";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010142119;bague;;"-1000 / -1  (Ie mill av. J.-C.)";"AO 17366; RS 6.149";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142139;"instrument et objet divers";;;"AO 17387";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142141;"scarabée ; cachet";;"-333 / -300  (Hellénistique)";"AO 17389; RS 6.146";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142168;"bague cachet";;"-1550 / -1150  (Bronze récent)";"AO 17420; RS 6.252";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010142171;poignard;;"-3300 / -1150  (Bronze)";"AO 17423";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142173;vase;;;"AO 17425; RS 6.336";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142185;monnaie;;"-333 / -30  (Hellénistique)";"AO 17437 A";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142186;monnaie;;"-333 / -30  (Hellénistique)";"AO 17437 B";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142192;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17443";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142196;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17447; RS 6.204";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142204;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17455";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142214;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17465";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142217;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17468; RS 6.367";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142219;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17470";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142223;"sceau cylindre";;"-1600 / -1300  (Mitannien)";"AO 17474; RS 6.389";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142226;"sceau cylindre";;"-1600 / -1300  (Mitannien)";"AO 17477";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142346;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 1; RS 6.244";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143297;figurine;;"-1400 / -1150  (Bronze récent)";"AO 18516; RS 7.063";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010143302;cachet;;"-3300 / -2100  (Bronze ancien)";"AO 18525";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143303;cachet;;"-3300 / -2100  (Bronze ancien)";"AO 18526";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143313;"outil ; ustensile domestique";;;"AO 18537";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143322;"sceau cylindre";;"-1600 / -1300  (Mitannien)";"AO 18546; RS 7.190";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143325;"scarabée ; cachet";;"-1560 / -1069  (Bronze récent ; Nouvel Empire)";"AO 18549";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143334;"sceau cylindre";;"-3500 / -3100  (Uruk)";"AO 18557; RS 7.011";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 18 Glyptique";
cl010143336;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 18559; RS 7.060";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143339;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 18562";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143341;"sceau cylindre";;"-1600 / -1300  (Mitannien)";"AO 18564";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143344;poignard;;"-1550 / -1150  (Bronze récent)";"AO 18567";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010143353;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 18575";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143360;"scarabée ; cachet";;"-1550 / -1150  (Bronze récent)";"AO 18584; RS 7.035";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143361;vase;;"-1550 / -1100  (Mycénien)";"AO 18585; RS 7.292";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 16 Céramique d'importation";
cl010143419;vase;;;"AO 18635";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143425;vase;;;"AO 18640";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143568;vase;;;"AO 18834; RS 7.276";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143862;"outil ; ustensile domestique";;;"AO 19096; RS 8168";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143865;hameçon;;;"AO 19099; RS 8.197";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143869;rasoir;;;"AO 19108; RS 8.143";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143874;hache;;"-3300 / -1150  (Bronze)";"AO 19114; RS 8.381";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143876;hache;;;"AO 19116; RS 8.020";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143877;scellement;;;"AO 19117; RS 8363";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143885;perle;;"-1400 / -1200  (Bronze récent II)";"AO 19123; RS 8.194";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 6 Techniques : matières vitreuses et animales";
cl010143894;pendentif;;;"AO 19134; RS 8035";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143902;anneau;;;"AO 19141; RS 8.525";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143912;bijou;;"-1550 / -1150  (Bronze récent)";"AO 19150; RS 8.317";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143913;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 19151; RS 8222";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143920;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 19158; RS 8022";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143922;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 19160";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143925;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 19163; RS 8225";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143926;vase;;;"AO 19237; RS 9.386";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143930;vase;;;"AO 19241";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143931;vase;;;"AO 19242; RS 9836";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143935;vase;;;"AO 19370; RS 9646";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143936;vase;;;"AO 19371; RS 9.238";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143937;vase;;;"AO 19372";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143963;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 19176; RS 8292";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143965;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 19178; RS 8238";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143966;cachet;;"-1550 / -1150  (Bronze récent)";"AO 19179";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 14 Relations internationales";
cl010143968;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 19181; RS 8.294";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143969;tige;;;"AO 19182; RS 8.189";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143977;vase;;;"AO 19190; RS 8.359";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143978;vase;;;"AO 19191; RS 8.489";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143979;vase;;;"AO 19192";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143982;vase;;;"AO 19195; RS 8.414";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143997;vase;;"-1550 / -1150  (Bronze récent)";"AO 20376; AO 19209; RS 528";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 16 Céramique d'importation";
cl010144000;"instrument et objet divers";;;"AO 19212; RS 8199";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144003;"lame ; lame de poignard";;;"AO 19215; RS 8.531";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144015;vase;;;"AO 19233; RS 9.706";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144019;vase;;;"AO 19236; RS 9.382";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144021;vase;;"-1550 / -1150  (Bronze récent)";"AO 19247; RS 9.506";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144023;vase;;;"AO 19249; RS 9.802";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144025;vase;;;"AO 19251";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144031;rasoir;;"-1550 / -1150  (Bronze récent)";"AO 19257";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010144034;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 19260; RS 9114";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144035;"sceau cylindre";;;"AO 19261; RS 9710 A";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144036;figurine;;;"AO 19262; RS 9028";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010144042;figurine;;;"AO 19268; RS 9.138";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010144045;"lame de poignard";;"-3300 / -1150  (Bronze)";"AO 19271; RS 9065";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144047;moule;;;"AO 19286; RS 9218";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010144059;"scarabée ; cachet";;"-1400 / -1200  (Bronze récent II)";"AO 19298; RS 9.466";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 14 Relations internationales";
cl010144060;"scarabée ; amulette ; cachet";;;"AO 19299; RS 9.296";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144063;pendeloque;;;"AO 19301; RS 9.006";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144093;lance;;"-3300 / -1150  (Bronze)";"AO 19330; RS 9722";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144100;perle;;;"AO 19337";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144111;vase;;;"AO 19347; RS 9.418";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144117;vase;;;"AO 19352; RS 9370";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144130;vase;;;"AO 19364; RS 9777";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
